year,city,country,avg_temp,Year-on-year difference,,Year on Year Trend
1796,Hyderabad,India,26.53,,,
1797,Hyderabad,India,27.48,0.95,,
1798,Hyderabad,India,26.2,-1.28,,
1799,Hyderabad,India,26.84,0.64,,
1800,Hyderabad,India,26.88,0.04,,
1801,Hyderabad,India,26.05,-0.83,,
1802,Hyderabad,India,27.44,1.39,,
1803,Hyderabad,India,27.22,-0.22,0.098571429,0.098571429
1804,Hyderabad,India,27.65,0.43,0.024285714,0.024285714
1805,Hyderabad,India,27.02,-0.63,0.117142857,0.117142857
1806,Hyderabad,India,26.89,-0.13,0.007142857,0.007142857
1807,Hyderabad,India,26.15,-0.74,-0.104285714,-0.104285714
1813,Hyderabad,India,26.25,0.1,0.028571429,0.028571429
1814,Hyderabad,India,25.65,-0.6,-0.255714286,-0.255714286
1815,Hyderabad,India,25.8,0.15,-0.202857143,-0.202857143
1816,Hyderabad,India,25.38,-0.42,-0.324285714,-0.324285714
1817,Hyderabad,India,25.61,0.23,-0.201428571,-0.201428571
1818,Hyderabad,India,25.83,0.22,-0.151428571,-0.151428571
1819,Hyderabad,India,25.78,-0.05,-0.052857143,-0.052857143
1820,Hyderabad,India,25.88,0.1,-0.052857143,-0.052857143
1821,Hyderabad,India,26.45,0.57,0.114285714,0.114285714
1822,Hyderabad,India,26.43,-0.02,0.09,0.09
1823,Hyderabad,India,26.65,0.22,0.181428571,0.181428571
1824,Hyderabad,India,27.1,0.45,0.212857143,0.212857143
1825,Hyderabad,India,26.72,-0.38,0.127142857,0.127142857
1826,Hyderabad,India,26.89,0.17,0.158571429,0.158571429
1827,Hyderabad,India,26.73,-0.16,0.121428571,0.121428571
1828,Hyderabad,India,26.63,-0.1,0.025714286,0.025714286
1829,Hyderabad,India,26.47,-0.16,0.005714286,0.005714286
1830,Hyderabad,India,26.45,-0.02,-0.028571429,-0.028571429
1831,Hyderabad,India,26.41,-0.04,-0.098571429,-0.098571429
1832,Hyderabad,India,26.63,0.22,-0.012857143,-0.012857143
1833,Hyderabad,India,26.5,-0.13,-0.055714286,-0.055714286
1834,Hyderabad,India,26.56,0.06,-0.024285714,-0.024285714
1835,Hyderabad,India,25.8,-0.76,-0.118571429,-0.118571429
1836,Hyderabad,India,26.19,0.39,-0.04,-0.04
1837,Hyderabad,India,26.24,0.05,-0.03,-0.03
1838,Hyderabad,India,26.33,0.09,-0.011428571,-0.011428571
1839,Hyderabad,India,26.34,0.01,-0.041428571,-0.041428571
1840,Hyderabad,India,26.44,0.1,-0.008571429,-0.008571429
1841,Hyderabad,India,26.12,-0.32,-0.062857143,-0.062857143
1842,Hyderabad,India,26.27,0.15,0.067142857,0.067142857
1843,Hyderabad,India,26.01,-0.26,-0.025714286,-0.025714286
1844,Hyderabad,India,26.08,0.07,-0.022857143,-0.022857143
1845,Hyderabad,India,26.39,0.31,0.008571429,0.008571429
1846,Hyderabad,India,26.82,0.43,0.068571429,0.068571429
1847,Hyderabad,India,26.31,-0.51,-0.018571429,-0.018571429
1848,Hyderabad,India,26.32,0.01,0.028571429,0.028571429
1849,Hyderabad,India,26.26,-0.06,-0.001428571,-0.001428571
1850,Hyderabad,India,26.47,0.21,0.065714286,0.065714286
1851,Hyderabad,India,26.45,-0.02,0.052857143,0.052857143
1852,Hyderabad,India,26.4,-0.05,0.001428571,0.001428571
1853,Hyderabad,India,26.7,0.3,-0.017142857,-0.017142857
1854,Hyderabad,India,26.79,0.09,0.068571429,0.068571429
1855,Hyderabad,India,26.81,0.02,0.07,0.07
1856,Hyderabad,India,26.24,-0.57,-0.002857143,-0.002857143
1857,Hyderabad,India,25.82,-0.42,-0.092857143,-0.092857143
1858,Hyderabad,India,26.6,0.78,0.021428571,0.021428571
1859,Hyderabad,India,26.6,0,0.028571429,0.028571429
1860,Hyderabad,India,26.41,-0.19,-0.041428571,-0.041428571
1861,Hyderabad,India,26.26,-0.15,-0.075714286,-0.075714286
1862,Hyderabad,India,24.38,-1.88,-0.347142857,-0.347142857
1865,Hyderabad,India,26.96,2.58,0.102857143,0.102857143
1866,Hyderabad,India,26.97,0.01,0.164285714,0.164285714
1867,Hyderabad,India,26.91,-0.06,0.044285714,0.044285714
1868,Hyderabad,India,26.8,-0.11,0.028571429,0.028571429
1869,Hyderabad,India,26.78,-0.02,0.052857143,0.052857143
1870,Hyderabad,India,26.45,-0.33,0.027142857,0.027142857
1871,Hyderabad,India,26.59,0.14,0.315714286,0.315714286
1872,Hyderabad,India,26.54,-0.05,-0.06,-0.06
